Resultados evento -> MAG3.1_2020-06-02T20
ONDA P LTA Promedio

lta_prom_X:667.000000
lta_prom_Y:1051.000000
lta_prom_Z:1838.000000
STA/LTA N:0.076462,Z:0.085633,E:0.418390
STA/LTA N:0.044978,Z:0.070409,E:0.416757
STA/LTA N:0.043478,Z:0.049477,E:0.410773
STA/LTA N:0.058471,Z:0.076118,E:0.412405
STA/LTA N:0.047976,Z:0.053283,E:0.409140
STA/LTA N:0.034483,Z:0.077069,E:0.394995
STA/LTA N:0.037481,Z:0.084681,E:0.382481
STA/LTA N:0.038981,Z:0.045671,E:0.391730
STA/LTA N:0.032984,Z:0.014272,E:0.391730
STA/LTA N:0.026987,Z:0.059943,E:0.378128
STA/LTA N:0.029985,Z:0.050428,E:0.412949
STA/LTA N:0.047976,Z:0.019981,E:0.426007
STA/LTA N:0.041979,Z:0.034253,E:0.422742
STA/LTA N:0.046477,Z:0.069458,E:0.423286
STA/LTA N:0.035982,Z:0.093245,E:0.411317
STA/LTA N:0.047976,Z:0.076118,E:0.384113
STA/LTA N:0.049475,Z:0.050428,E:0.360174
STA/LTA N:0.029985,Z:0.050428,E:0.384113
STA/LTA N:0.062969,Z:0.034253,E:0.364527
STA/LTA N:0.038981,Z:0.050428,E:0.366703
STA/LTA N:0.029985,Z:0.057088,E:0.369423
STA/LTA N:0.029985,Z:0.044719,E:0.374864
STA/LTA N:0.031484,Z:0.011418,E:0.378672
STA/LTA N:0.022489,Z:0.015224,E:0.377040
STA/LTA N:0.050975,Z:0.015224,E:0.363439
STA/LTA N:0.016492,Z:0.030447,E:0.391186
STA/LTA N:0.047976,Z:0.039010,E:0.414581
STA/LTA N:0.049475,Z:0.026641,E:0.434168
STA/LTA N:0.058471,Z:0.028544,E:0.420022
STA/LTA N:0.025487,Z:0.027593,E:0.392818
STA/LTA N:0.040480,Z:0.041865,E:0.398803
STA/LTA N:0.049475,Z:0.049477,E:0.372688
STA/LTA N:0.046477,Z:0.055186,E:0.345484
STA/LTA N:0.097451,Z:0.078972,E:0.327530
STA/LTA N:0.091454,Z:0.043768,E:0.336235
STA/LTA N:0.064468,Z:0.029496,E:0.360718
STA/LTA N:0.056972,Z:0.019029,E:0.341676
STA/LTA N:0.052474,Z:0.043768,E:0.338955
STA/LTA N:0.055472,Z:0.037108,E:0.349293
STA/LTA N:0.049475,Z:0.022835,E:0.362894
STA/LTA N:0.037481,Z:0.031399,E:0.373232
STA/LTA N:0.056972,Z:7.865842,E:0.377584
STA/LTA N:0.872564,Z:5.066603,E:0.361806
STA/LTA N:3.730135,Z:2.622265,E:1.734494
STA/LTA N:3.700150,Z:1.727878,E:2.677911
STA/LTA N:5.019490,Z:2.033302,E:1.004897
STA/LTA N:3.475262,Z:1.053283,E:1.454842
STA/LTA N:1.371814,Z:1.109420,E:0.949946
STA/LTA N:1.259370,Z:0.662226,E:0.800326
STA/LTA N:2.148426,Z:0.751665,E:0.511425
