Resultados evento -> MAG3.6_2020-05-06T04
ONDA P LTA Promedio

lta_prom_X:1426.000000
lta_prom_Y:1280.000000
lta_prom_Z:1425.000000
STA/LTA X:0.360449,Y:0.070312,Z:0.233684
STA/LTA X:0.394109,Y:0.034375,Z:0.214737
STA/LTA X:0.389902,Y:0.029687,Z:0.227368
STA/LTA X:0.366760,Y:0.037500,Z:0.258246
STA/LTA X:0.381487,Y:0.083594,Z:0.296140
STA/LTA X:0.382188,Y:0.090625,Z:0.287719
STA/LTA X:0.377980,Y:0.116406,Z:0.299649
STA/LTA X:0.363254,Y:0.110156,Z:0.265263
STA/LTA X:0.354137,Y:0.088281,Z:0.251930
STA/LTA X:0.364656,Y:0.097656,Z:0.261754
STA/LTA X:0.366059,Y:0.110156,Z:0.230877
STA/LTA X:0.374474,Y:0.109375,Z:0.253333
STA/LTA X:0.363955,Y:0.091406,Z:0.256842
STA/LTA X:0.363955,Y:0.042188,Z:0.287018
STA/LTA X:0.335203,Y:0.047656,Z:0.279298
STA/LTA X:0.341515,Y:0.053906,Z:0.262456
STA/LTA X:0.337307,Y:0.052344,Z:0.240000
STA/LTA X:0.345722,Y:0.061719,Z:0.237193
STA/LTA X:0.363955,Y:0.100781,Z:0.305965
STA/LTA X:0.359046,Y:0.091406,Z:0.334737
STA/LTA X:0.363254,Y:0.103906,Z:0.301754
STA/LTA X:0.328892,Y:0.118750,Z:0.262456
STA/LTA X:0.329593,Y:0.100000,Z:0.232982
STA/LTA X:0.302244,Y:0.054688,Z:0.214737
STA/LTA X:0.285414,Y:0.063281,Z:0.212632
STA/LTA X:0.307153,Y:0.046875,Z:0.245614
STA/LTA X:0.356241,Y:0.060156,Z:0.291930
STA/LTA X:0.355540,Y:0.094531,Z:0.275088
STA/LTA X:0.319776,Y:0.096094,Z:0.264561
STA/LTA X:0.289621,Y:0.102344,Z:0.293333
STA/LTA X:0.326788,Y:0.103906,Z:0.289825
STA/LTA X:0.317672,Y:0.092188,Z:0.291930
STA/LTA X:0.322581,Y:0.068750,Z:0.303158
STA/LTA X:0.300140,Y:0.060156,Z:0.281404
STA/LTA X:0.269285,Y:0.076563,Z:0.249825
STA/LTA X:0.276297,Y:0.087500,Z:0.211930
STA/LTA X:0.297335,Y:0.077344,Z:0.218246
STA/LTA X:0.266480,Y:0.079687,Z:0.254035
STA/LTA X:0.279804,Y:0.077344,Z:0.258246
STA/LTA X:0.276297,Y:0.092188,Z:0.264561
STA/LTA X:0.276297,Y:0.068750,Z:0.294035
STA/LTA X:0.298738,Y:0.040625,Z:0.305263
STA/LTA X:0.319074,Y:0.096094,Z:0.305965
STA/LTA X:0.297335,Y:0.132812,Z:0.286316
STA/LTA X:0.281907,Y:0.134375,Z:0.267368
STA/LTA X:0.254558,Y:0.502344,Z:2.809825
STA/LTA X:0.526648,Y:6.214062,Z:3.807719
STA/LTA X:2.307153,Y:5.871094,Z:1.624561
STA/LTA X:2.926367,Y:1.330469,Z:3.214035
STA/LTA X:5.034362,Y:1.975781,Z:2.332632
