Resultados evento -> MAG3.0_2020-06-22T20
ONDA P LTA Promedio

lta_prom_X:1033.000000
lta_prom_Y:248.000000
lta_prom_Z:1021.000000
STA/LTA N:0.470474,Z:0.282258,E:0.480901
STA/LTA N:0.474347,Z:0.221774,E:0.505387
STA/LTA N:0.524685,Z:0.229839,E:0.528893
STA/LTA N:0.520813,Z:0.197581,E:0.551420
STA/LTA N:0.504356,Z:0.379032,E:0.577865
STA/LTA N:0.471442,Z:0.375000,E:0.535749
STA/LTA N:0.460794,Z:0.217742,E:0.540646
STA/LTA N:0.465634,Z:0.181452,E:0.504407
STA/LTA N:0.453049,Z:0.294355,E:0.467189
STA/LTA N:0.488867,Z:0.334677,E:0.451518
STA/LTA N:0.489835,Z:0.338710,E:0.430950
STA/LTA N:0.469506,Z:0.318548,E:0.482860
STA/LTA N:0.451113,Z:0.274194,E:0.538688
STA/LTA N:0.456922,Z:0.266129,E:0.533790
STA/LTA N:0.459826,Z:0.250000,E:0.528893
STA/LTA N:0.508228,Z:0.233871,E:0.499510
STA/LTA N:0.481123,Z:0.322581,E:0.487757
STA/LTA N:0.447241,Z:0.161290,E:0.500490
STA/LTA N:0.440465,Z:0.189516,E:0.507346
STA/LTA N:0.484995,Z:0.193548,E:0.494613
STA/LTA N:0.546951,Z:0.334677,E:0.535749
STA/LTA N:0.480155,Z:0.326613,E:0.489716
STA/LTA N:0.439497,Z:0.237903,E:0.460333
STA/LTA N:0.454017,Z:0.362903,E:0.470127
STA/LTA N:0.522749,Z:0.326613,E:0.445642
STA/LTA N:0.528558,Z:0.366935,E:0.438786
STA/LTA N:0.465634,Z:0.322581,E:0.431929
STA/LTA N:0.440465,Z:0.362903,E:0.491675
STA/LTA N:0.444337,Z:0.322581,E:0.508325
STA/LTA N:0.519845,Z:0.262097,E:0.536729
STA/LTA N:0.516941,Z:0.237903,E:0.557297
STA/LTA N:0.461762,Z:0.153226,E:0.544564
STA/LTA N:0.496612,Z:0.185484,E:0.582762
STA/LTA N:0.543078,Z:0.383065,E:0.565132
STA/LTA N:0.536302,Z:0.435484,E:0.428991
STA/LTA N:0.500484,Z:0.379032,E:0.376102
STA/LTA N:0.504356,Z:0.258065,E:0.384917
STA/LTA N:0.522749,Z:0.217742,E:0.431929
STA/LTA N:0.542110,Z:0.137097,E:0.524976
STA/LTA N:0.531462,Z:0.112903,E:0.544564
STA/LTA N:0.563408,Z:0.125000,E:0.574927
STA/LTA N:0.601162,Z:0.270161,E:0.494613
STA/LTA N:0.473379,Z:0.733871,E:0.434868
STA/LTA N:0.525653,Z:3.850806,E:0.476004
STA/LTA N:0.498548,Z:1.322581,E:0.473066
STA/LTA N:0.509197,Z:2.020161,E:0.619980
STA/LTA N:0.503388,Z:1.395161,E:0.592556
STA/LTA N:0.566312,Z:0.995968,E:0.454456
STA/LTA N:0.556631,Z:1.141129,E:0.576885
STA/LTA N:0.559535,Z:1.112903,E:0.541626
